layer,source,product,variable_or_product_type,temporal_resolution,spatial_resolution,timestamp_semantics,historical_access,current_access,retrieval_method,latency_information,available_at_or_before_T,access_status,classification,notes
atmospheric_observations,Open-Meteo,Historical Weather Archive API (archive-api.open-meteo.com/v1/archive),temperature_2m; relative_humidity_2m; surface_pressure (Pa); wind_speed_10m; wind_direction_10m; precipitation; cloud_cover (weather_code fetched historically but forbidden as predictor),hourly,point extract of ERA5-class reanalysis cell (Phase 2A documented served cell per station),UTC hourly valid time of archive hour T; timezone GMT/UTC in collectors,YES in-repo 2014-01-01 to 2025-12-31 for five ICAO,Archive endpoint is HISTORICAL; recent hours NOT VERIFIED as identical to live observations,Unauthenticated HTTPS GET (Phase 2A/3 collectors),NOT DOCUMENTED for publication lag; ERA5-class archives are not a live latency contract,YES for replay of archived hour T; CONDITIONAL if using archive as if it were a live observation at wall-clock T,available_in_repo,REPLAY_READY,Source of truth for Phase 3/14A atmospheric features. Distinct from Forecast API. Do not claim LIVE/OPERATIONAL.
atmospheric_observations,Open-Meteo,Forecast API (api.open-meteo.com) used by V1 live nowcast,same surface names as training but different product family (forecast/nowcast mix not ERA5 archive),hourly,point query; served cell may differ from archive cell,Provider timestamp for requested forecast hours; not proven identical to archive valid-time T,Not the V2 training archive,V1 backend uses this endpoint without API key,Unauthenticated HTTPS GET,NOT DOCUMENTED,CONDITIONAL: may supply recent hours for a demo but is NOT the Phase 3 archive product; cell/value mismatch vs training is possible,available_no_key,NEAR_REAL_TIME_CANDIDATE,Demo candidate only. Product mismatch vs Model B training atmosphere. Not an operational observation network.
nwp,Open-Meteo,Historical Forecast API gfs_global (historical-forecast-api.open-meteo.com/v1/forecast),nwp_cape; nwp_convective_inhibition; nwp_lifted_index; nwp_temperature_2m; nwp_relative_humidity_2m; nwp_surface_pressure (hPa); nwp_wind_speed_10m; nwp_wind_direction_10m; nwp_precipitation; nwp_cloud_cover,hourly,GFS served cell (Phase 7B documented; differs from archive cell),valid_time_utc = observation hour T; nwp_time_shift=false; archived forecast valid-time series NOT initialization-time,YES in-repo 2021-04-01 to 2025-12-31; CAPE/CIN/LI not filled earlier in probes,Historical Forecast is not a live run feed,Unauthenticated HTTPS GET frozen models=gfs_global,NOT DOCUMENTED as operational latency; Phase 13A: valid-time Historical Forecast is NOT an operational latency contract,YES for historical replay at valid time T; NO as proof that the same GFS field was issued and received before wall-clock T,available_in_repo,REPLAY_READY,Validated Model B NWP. Do not replace. Not LIVE/OPERATIONAL.
nwp,Open-Meteo,Previous Runs API (previous-runs-api.open-meteo.com/v1/forecast),same convective/surface family when archived run contains them,hourly archived NWP runs (lead-time / previous_day semantics),same Open-Meteo GFS-class point mapping,Run/initialization vs valid-time must be documented to stay causal; not the Phase 8B join,API range from Phase 7 probes ~2016 onward; convective holes until ~2021-04,NOT VERIFIED as a continuous live previous-cycle feed in this phase,Unauthenticated HTTPS GET,NOT DOCUMENTED,CONDITIONAL: usable at T only if the selected previous run was issued at or before T; mixing valid-time Historical Forecast with previous-run fields is a different experiment,available_no_key,NEAR_REAL_TIME_CANDIDATE,Closer to operational nowcast inputs than homogenized Historical Forecast. Not in Model B. Do not silently substitute.
nwp,NOAA / ECMWF public NWP,GFS NOMADS/AWS and ECMWF Open Data IFS (documentation only; not collected),CAPE CIN LI T RH pressure wind precip cloud (native GRIB; not the Open-Meteo point schema),model cycle / forecast step (often 1h recent GFS; stepped IFS),native global grids (~0.25 class; NOT VERIFIED here),initialization time + forecast lead; valid time = init + lead,NOAA multi-year GRIB archives exist but are not the V2 table; ECMWF open data is recent not 2014-2025,Public recent cycles exist; NOT VERIFIED in this phase,Public HTTP/S3 GRIB; no CDS account for open subset,NOT DOCUMENTED in this audit (do not invent cycle delays),CONDITIONAL: a prediction at T may use only cycles published before T and fields valid at T; requires a future latency contract,not_collected,OPERATIONAL_CANDIDATE,Possible future live NWP path. Heavier tooling. Must not overwrite Phase 8 dataset.
satellite,MOSDAC / ISRO,INSAT-3DR Cloud Mask 3RIMG_L2B_CMK (intended; Phase 10 not executed),L2B cloud mask / cloud-type family (not lightning),NOT VERIFIED in this phase (INSAT imager products are typically sub-hourly; exact CMK cadence not independently confirmed here),NOT VERIFIED (INSAT imager km-class; exact CMK grid not confirmed),scan/product valid time on MOSDAC; alignment to hourly T would require documented resample of scans at or before T,NOT VERIFIED (catalog existence noted in Phase 9A; no download),NOT VERIFIED; MOSDAC account not created,MOSDAC portal / registered download; no bulk pull this phase,NOT DOCUMENTED,UNKNOWN until product timestamps and delivery lag are verified; if granted CONDITIONAL after mapping scan time <= T,ACCESS_PENDING,ACCESS_PENDING. No satellite columns. No placeholder data.
radar,IMD Radar Data Supply Portal / IMD radar ecosystem,IMD weather radar volume / derived products (exact product list NOT VERIFIED without portal login),reflectivity / echo products for possible future station-centric extracts,NOT VERIFIED,NOT VERIFIED,radar volume time; would need documented alignment to UTC hour T or earlier,NOT VERIFIED,NOT VERIFIED,Institutional request; university letter/undertaking expected per prior V2 design (Phase 11 pending),NOT DOCUMENTED,UNKNOWN until access and volume timestamps exist; then CONDITIONAL if volume time <= T,INSTITUTIONAL_ACCESS_REQUIRED,INSTITUTIONAL_ACCESS_REQUIRED. Do not scrape map tiles. No synthetic radar.
real_time_lightning,IITM,Lightning Location Network (LLN); Damini is display/alert not bulk API,ground-network lightning strokes/flashes (OBSERVATION),sub-second events if granted,typically km-class location error in literature; NOT independently verified here,event time UTC if granted; hourly counts would aggregate events <= T,Network existed across much of 2014-2025 in literature; no public dump,Near-real-time in Damini UI; historical dump not public,Research grant / data request; no account created,NOT DOCUMENTED for research extracts,CONDITIONAL if event times <= T after a grant; currently NO in-repo,INSTITUTIONAL_ACCESS_REQUIRED,Best Indian observation candidate if granted. Not in Model B.
real_time_lightning,IMD,Lightning detection / location network and nowcast web products,sensor OBSERVATION internally; public pages mostly maps/alerts (FORECAST/display),stroke internally; public typically maps not station hourly extracts,hundreds of m to few km claimed in literature; NOT VERIFIED here,operational nowcast clocks; no public historical event timestamp archive found,no public 2014-2025 flash catalog found,operational public maps; research extract via request,IMD data request / MoU,NOT DOCUMENTED,CONDITIONAL after grant; currently NO,INSTITUTIONAL_ACCESS_REQUIRED,Do not scrape nowcast tiles.
real_time_lightning,NASA GHRC,TRMM LIS and ISS-LIS flash science products,spaceborne optical lightning flashes (OBSERVATION),overpass (~90 min ISS) not continuous hourly,about 4-8 km nadir-class,overpass observation time; cannot form continuous last-1h station count,TRMM overlap 2014-01 to 2015-04; ISS-LIS 2017-03 to 2023-11; gap 2015-2017; no 2024-2025 ISS-LIS,ISS-LIS mission ended 2023-11; not a live India feed,Earthdata (account not created this phase); free with citation,NOT DOCUMENTED as live latency (historical mission),CONDITIONAL for overpass time <= T on those dates only; NO as 24/7 nowcast input,NOT VERIFIED (Earthdata not used this phase),REFERENCE_ONLY,Reference/climatology path. Not real-time lightning for Model B.
